path,line,category,status,target,detail
attributions.md,54,relative_link,EXISTS,./AI-USE-DISCLOSURE.md,./AI-USE-DISCLOSURE.md
README.md,8,science_claim,SCIENCE_REVIEW_REQUIRED,,"用基因工程酵母在不同波长光照下合成三种天然色素,配合家蚕内源 BmCBP 蛋白做媒染剂,把数字图案直接""画""在布料上,全程零重金属、零化学废水。"
README.md,16,science_claim,SCIENCE_REVIEW_REQUIRED,,"研究问题:纺织印染是全球第二大污染产业,每年释放 2 万吨染料、消耗 930 亿立方米水,废水里有锑、铅、砷、铬这类重金属和苯胺等致癌物,处理成本高昂。我们要回答的核心问题是——能不能用合成生物学加上计算建模的手段,把化学染料和重金属媒染剂同时替换掉,在零毒排放的前提下还能做到精准的图案定制?"
README.md,20,science_claim,SCIENCE_REVIEW_REQUIRED,,"计算建模驱动菌株设计:用 GSMM(基因组尺度代谢模型)加 OptKnock 算法,在虾青素合成路径上预测关键敲除靶点,把菌株迭代从""盲筛""变成""有理由的尝试"",目前虾青素产量已经提升了 45%;"
README.md,21,science_claim,SCIENCE_REVIEW_REQUIRED,,"光遗传基因回路:在酿酒酵母里构建红、绿、蓝三种波长响应的启动子,分别诱导虾青素(红)、玉米黄素(黄)、靛蓝(蓝)合成,色素表达和光信号直接挂钩,共 8 条通路已经成功构建并测试;"
README.md,31,science_claim,SCIENCE_REVIEW_REQUIRED,,"已发表 SCI 论文 1 篇(《Angew. Chem. Int. Ed.》,IF 16.9)、北大核心 1 篇,在申专利 48 项。"
README.md,89,template,REVIEW_CONTEXT,,git clone <your-repo-url> fabric
README.md,103,science_claim,SCIENCE_REVIEW_REQUIRED,,"bash# 1) 跑 GSMM + OptKnock,复现虾青素产量提升 45% 的预测结果"
README.md,315,template,REVIEW_CONTEXT,,url    = {<your-repo-url>}
README.md,3,relative_link,EXISTS,src/ai/fabric_ai_optimizer/README.md,src/ai/fabric_ai_optimizer/README.md
README.md,3,relative_link,EXISTS,results/fabric_ai/20260908/README.md,results/fabric_ai/20260908/README.md
README.md,3,relative_link,EXISTS,results/evidence/20260908/code_parts_sync/README_最终仓库同步结果.md,results/evidence/20260908/code_parts_sync/README_最终仓库同步结果.md
README.md,129,relative_link,EXISTS,./wiki/Project-Description.md,./wiki/Project-Description.md
README.md,130,relative_link,EXISTS,./wiki/AI-Computational-Methods.md,./wiki/AI-Computational-Methods.md
README.md,131,relative_link,EXISTS,./wiki/Wet-Lab-Experiments.md,./wiki/Wet-Lab-Experiments.md
README.md,132,relative_link,EXISTS,./wiki/Integrated-Validation.md,./wiki/Integrated-Validation.md
README.md,133,relative_link,EXISTS,./wiki/Verifiability.md,./wiki/Verifiability.md
README.md,134,relative_link,EXISTS,./wiki/AI-Ethics-Safety.md,./wiki/AI-Ethics-Safety.md
README.md,135,relative_link,EXISTS,./attributions.md,./attributions.md
README.md,305,relative_link,EXISTS,./LICENSE,./LICENSE
